--------------------------------------------------------------------------------
Process Log Fri Apr 26 19:28:06 2019
--------------------------------------------------------------------------------
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 13104, 'vms': 9.23046875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 13336, 'vms': 22.35546875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 13376, 'vms': 35.0625} 
{'name': 'taskhostw.exe', 'username': 'NTNET\\pratibal', 'pid': 13552, 'vms': 4.7890625} 
{'name': 'svchost.exe', 'username': None, 'pid': 13632, 'vms': 2.015625} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 13772, 'vms': 478.30078125} 
{'name': 'CmRcService.exe', 'username': None, 'pid': 13912, 'vms': 3.765625} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 13956, 'vms': 6.90234375} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 14048, 'vms': 12.828125} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 14132, 'vms': 6.1875} 
{'name': 'svchost.exe', 'username': 'NTNET\\pratibal', 'pid': 14312, 'vms': 5.83203125} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 14444, 'vms': 30.80078125} 
{'name': 'A180WD.exe', 'username': None, 'pid': 14804, 'vms': 3.1015625} 
{'name': 'explorer.exe', 'username': 'NTNET\\pratibal', 'pid': 14880, 'vms': 96.390625} 
{'name': 'cmd.exe', 'username': 'NTNET\\pratibal', 'pid': 14960, 'vms': 3.8203125} 
{'name': 'dllhost.exe', 'username': 'NTNET\\pratibal', 'pid': 15240, 'vms': 2.41015625} 
{'name': 'WINWORD.EXE', 'username': 'NTNET\\pratibal', 'pid': 15740, 'vms': 248.39453125} 
{'name': 'bash.exe', 'username': 'NTNET\\pratibal', 'pid': 15936, 'vms': 7.6015625} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 15956, 'vms': 26.2109375} 
{'name': 'RuntimeBroker.exe', 'username': 'NTNET\\pratibal', 'pid': 15960, 'vms': 17.6484375} 
{'name': 'python.exe', 'username': 'NTNET\\pratibal', 'pid': 16308, 'vms': 8.140625} 
{'name': 'RdrCEF.exe', 'username': 'NTNET\\pratibal', 'pid': 16324, 'vms': 59.21875} 
{'name': 'lynchtmlconv.exe', 'username': 'NTNET\\pratibal', 'pid': 16464, 'vms': 52.515625} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 16732, 'vms': 122.3984375} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 16768, 'vms': 280.453125} 
{'name': 'Calculator.exe', 'username': 'NTNET\\pratibal', 'pid': 16816, 'vms': 16.33203125} 
{'name': 'UcMapi.exe', 'username': 'NTNET\\pratibal', 'pid': 16904, 'vms': 23.328125} 
{'name': 'CodeHelper.exe', 'username': 'NTNET\\pratibal', 'pid': 17300, 'vms': 11.2734375} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 17440, 'vms': 3.25} 
{'name': 'ApplicationFrameHost.exe', 'username': 'NTNET\\pratibal', 'pid': 18176, 'vms': 21.37890625} 
{'name': 'winpty-agent.exe', 'username': 'NTNET\\pratibal', 'pid': 19248, 'vms': 3.0390625} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 19568, 'vms': 45.77734375} 
{'name': 'FileCoAuth.exe', 'username': 'NTNET\\pratibal', 'pid': 19588, 'vms': 7.33203125} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 19736, 'vms': 102.51171875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 19748, 'vms': 208.4453125} 
{'name': 'svchost.exe', 'username': None, 'pid': 20340, 'vms': 2.109375} 
{'name': 'node.exe', 'username': 'NTNET\\pratibal', 'pid': 20416, 'vms': 86.48046875} 
{'name': 'ALM-Client.exe', 'username': 'NTNET\\pratibal', 'pid': 20436, 'vms': 283.5703125} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 20492, 'vms': 13.625} 
{'name': 'svchost.exe', 'username': None, 'pid': 20528, 'vms': 2.55859375} 
{'name': 'ONENOTE.EXE', 'username': 'NTNET\\pratibal', 'pid': 20756, 'vms': 88.76171875} 
{'name': 'bash.exe', 'username': 'NTNET\\pratibal', 'pid': 20820, 'vms': 7.953125} 
{'name': 'A180CM.exe', 'username': None, 'pid': 20976, 'vms': 21.19921875} 
{'name': 'conhost.exe', 'username': None, 'pid': 21472, 'vms': 1.75} 
{'name': 'Microsoft.Photos.exe', 'username': 'NTNET\\pratibal', 'pid': 21820, 'vms': 71.42578125} 
{'name': 'svchost.exe', 'username': None, 'pid': 22072, 'vms': 7.125} 
{'name': 'splwow64.exe', 'username': 'NTNET\\pratibal', 'pid': 22324, 'vms': 6.63671875} 
{'name': 'svchost.exe', 'username': None, 'pid': 22560, 'vms': 2.21875} 
{'name': 'p4v.exe', 'username': 'NTNET\\pratibal', 'pid': 22936, 'vms': 76.3984375} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 23012, 'vms': 6.18359375} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 23096, 'vms': 5.9921875} 
{'name': 'SettingSyncHost.exe', 'username': 'NTNET\\pratibal', 'pid': 23108, 'vms': 3.6484375} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 23812, 'vms': 56.47265625} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 23844, 'vms': 29.1328125} 
{'name': 'ctfmon.exe', 'username': 'NTNET\\pratibal', 'pid': 23936, 'vms': 5.875} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 23980, 'vms': 23.484375} 
{'name': 'putty.exe', 'username': 'NTNET\\pratibal', 'pid': 24224, 'vms': 3.25390625} 
{'name': 'Dserui.exe', 'username': 'NTNET\\pratibal', 'pid': 24444, 'vms': 3.46875} 
{'name': 'iexplore.exe', 'username': 'NTNET\\pratibal', 'pid': 24620, 'vms': 17.734375} 
{'name': 'conhost.exe', 'username': 'NTNET\\pratibal', 'pid': 25224, 'vms': 11.234375} 
{'name': 'AcroRd32.exe', 'username': 'NTNET\\pratibal', 'pid': 25340, 'vms': 11.05859375} 
{'name': 'EXCEL.EXE', 'username': 'NTNET\\pratibal', 'pid': 25480, 'vms': 120.37109375} 
